,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity,No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm),lat,lon,geometry
901,1009,11936339,2025-12-08,Fortum (formerly Peel Environmental),South Clyde Energy Centre,EfW Incineration,,,45.00,,No,,,,,,,,,Under Construction,Under Construction,,,"Land to the south of King George V Dock, Glasgow",Strathclyde,Scotland,Scotland,G51 4FE,252615,665698,Glasgow City,12/01293/DC,,,,,,2012-06-25,,,,,,,,,,,2017-09-11,2023-01-03,,,,55.86186,-4.35651,POINT (-4.35651 55.86186)
3603,4418,11139218,2025-11-09,Scottish and Southern Energy (SSE),Strathy South,Wind Onshore,,,208.00,,No,AR5,,,231.00,6.20,35,200.00,,Under Construction,Under Construction,,,"South of Strathy, Sutherland",Highland,Scotland,Scotland,,279050,952050,Scottish Government (S36),EC00003113,WIN-270-2,,,,,2009-02-01,,,2014-09-03,,,,,,,,2027-11-24,2025-01-06,,,,58.43995,-4.07353,POINT (-4.07353 58.43995)
3741,4571,11854098,2025-08-04,Amegni Renewables,Carno 3,Wind Onshore,,,45.00,,,AR6,,,45.00,3.40,13,149.90,,Planning Permission Granted,Awaiting Construction,,,"Carno, Powys, SY17 5JS",Powys,Wales,Wales,,294433,297106,Powys,P/2010/0762,,,,,,2010-07-15,,,,,,,,,,,2022-05-26,,,,,52.56151,-3.55874,POINT (-3.55874 52.56151)
4785,5949,12673439,2025-08-04,Vattenfall,Ourack,Wind Onshore,,12727,105.00,No,,,,,,5.80,18,180.00,,Planning Permission Granted,Awaiting Construction,,,6km north of Granton-on-Spey,Highland,Scotland,Scotland,,305000,838876,Scottish Government (S36),ECU00001999,,,,,,2022-10-18,,,,,,,,,,,,,,,,57.43026,-3.58383,POINT (-3.58383 57.43026)
4820,6005,11986852,2025-11-04,Boralex/Infinergy,Limekiln Wind Farm ,Wind Onshore,,,79.80,,No,AR5,,,53.00,4.20,19,149.90,,Operational,Operational,,4393,"Limekilns Estate, Reay, Thurso",Highland,Scotland,Scotland,,298654,961356,Scottish Government (S36),EC00005269,WIN-270-8,,,,,2016-06-15,,,2017-04-07,,,,,,,,2027-05-17,,2025-01-04,,,58.52848,-3.74205,POINT (-3.74205 58.52848)
5106,6550,12723020,2025-09-06,Norchard Solar Farm Limited,Norchard Farm,Solar Photovoltaics,,,8.75,,,,,,,,,,Ground,Planning Permission Granted,Awaiting Construction,,,"Norchard Farm, Norchard Lane, Crossway Green, Stourport-On-Severn, Hereford and Worcester",Hereford and Worcester,West Midlands,England,DY13 9SN,384645,268601,Wychavon,W/23/01483/FUL,,,,,,2023-07-19,,,,,,,2024-11-10,,,,2027-10-11,,,,119000.00,52.3153,-2.22667,POINT (-2.22667 52.3153)
5193,6734,12548673,2025-11-08,Scottish & Southern (SSE),Tangy 4 Wind Farm,Wind Onshore,,,80.00,,,,,,,,16,149.90,,Planning Permission Granted,Awaiting Construction,,,"Tangy, Kilkenzie, Campbeltown, Argyll And Bute",Argyll and Bute,Scotland,Scotland,PA28 6QD,168500,628500,Scottish Government (S36),ECU00000673,,,,,,2018-09-06,,,,,,,,,,,2024-12-20,,,,,55.49529,-5.66658,POINT (-5.66658 55.49529)
5251,6827,12129175,2025-08-04,OnPath Energy Limited,Lethans Wind Farm ,Wind Onshore,,,105.60,,,AR6,,,120.00,4.80,22,220.00,,Planning Permission Granted,Awaiting Construction,,4603,"Land to the north east of New Cumnock, Lethans, ",East Ayrshire,Scotland,Scotland,,268331,616048,Scottish Government (S36),ECU00001856,,,,,,2019-05-22,,,,,,,,,,,2026-06-18,,,,,55.4206,-4.08181,POINT (-4.08181 55.4206)
5341,6947,11849966,2025-11-09,SSE Renewables,Coire Glas ,Pumped Storage Hydroelectricity,,,1500.00,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,6870,"Land At Coire Glas, Laggan, Newtonmore, ",Highland,Scotland,Scotland,PH34 4EA,226693,796765,Scottish Government (S36),ECU00000577,,,,,,2018-03-28,,,,,,,,,,,2027-10-15,,,,,57.02933,-4.85716,POINT (-4.85716 57.02933)
5511,7175,12628070,2025-08-04,INRG Solar,Little Crow Solar Park,Battery,Co-located with RE,6557,90.00,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Land located 0.6km to the east of the British Steel site at Scunthorpe, ",Lincolnshire,Yorkshire and Humber,England,DN16 1XP,493116,412070,The Planning Inspectorate - National Infrastructure,EN010101,,,,,,2020-12-04,,,,,,,2022-05-04,,,,2027-04-05,,,,,53.59694,-0.59449,POINT (-0.59449 53.59694)
5697,7456,12548310,2025-12-06,Scottish Power Renewables,Hagshaw Hill (Repowering),Wind Onshore,,,84.00,,,AR4,,,79.80,,14,200.00,,Planning Permission Granted,Awaiting Construction,,,"Hagshaw Hill Wind Farm, Douglas, Lanark ",South Lanarkshire,Scotland,Scotland,ML11 0RR,282089,631116,Scottish Government (S36),ECU00000737,,,,,,2018-12-03,,,,,,,,,,,2025-02-26,,,,,55.55942,-3.87099,POINT (-3.87099 55.55942)
5733,7519,12455137,2025-12-05,BayWa r.e. UK Limited,Corner Copse Solar Farm,Solar Photovoltaics,,,49.90,,,AR4,,,49.90,,,,Ground,Under Construction,Under Construction,,,"Corner Copse Solar Farm, Stanton Fitzwarren, Swindon, ",Wiltshire,South West,England,SN6,418268,190691,Swindon,S/19/1097,,,,,,2019-07-31,,,,,,,,,,,2023-06-25,,,,955200.00,51.61475,-1.73756,POINT (-1.73756 51.61475)
5734,7520,12455137,2025-12-05,BayWa r.e. UK Limited,Corner Copse Solar Farm,Battery,Co-located with RE,7519,,,,,,,,,,,Ground,Under Construction,Under Construction,,,"Corner Copse Solar Farm, Stanton Fitzwarren, Swindon, ",Wiltshire,South West,England,SN6,418268,190691,Swindon,S/19/1097,,,,,,2019-07-31,,,,,,,,,,,2023-06-25,,,,,51.61475,-1.73756,POINT (-1.73756 51.61475)
5752,7551,12450560,2025-08-04,Carlton Power,Langage Solar Park,Battery,Co-located with RE,1039,0.50,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Langage Solar Park, Lower Langage Farm, Plymouth, Devon",Devon,South West,England,PL7 5AQ,257480,56426,South Hams,1185/19/FUL,,,,,,2019-06-06,,,,,,,2019-04-10,,,,2022-10-04,,,,,50.3904,-4.00629,POINT (-4.00629 50.3904)
5765,7572,12548310,2025-12-06,Scottish Power Renewables,Hagshaw Hill,Battery,Co-located with RE,7456,20.00,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Hagshaw Hill Wind Farm, Douglas, Lanark ",South Lanarkshire,Scotland,Scotland,ML11 0RR,282089,631116,Scottish Government (S36),ECU00000737,,,,,,2018-12-03,,,,,,,,,,,2025-02-26,,,,,55.55942,-3.87099,POINT (-3.87099 55.55942)
5853,7690,12627541,2025-11-09,MVV Environment,Medworth EfW,EfW Incineration,,,58.00,,Yes,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Land on the Algores Way Industrial Estate to the west of Algores Way in Wisbech, Fenland, Cambridge",Cambridgeshire,Eastern,England,PE13 2TQ,545564,307955,The Planning Inspectorate - National Infrastructure,EN010110,,,,,,2022-07-08,,,,,,,,,,,,,,,,52.6498,0.15029,POINT (0.15029 52.6498)
5865,7708,12507874,2025-11-04,Infinergy / Boralex,Limekiln Wind Farm (Extension),Wind Onshore,,11312,21.00,,No,AR5,,,53.00,,5,149.90,,Operational,Operational,,,"Broubster Estate, Acheveilan North Estate and Limekiln Estate, southeast of Reay, Caithness",Highland,Scotland,Scotland,,300298,961309,Scottish Government (S36),ECU00002070,,,,,,2020-05-14,,,,,,,2022-06-05,,,,2027-05-06,,2025-01-04,,,58.52844,-3.71381,POINT (-3.71381 58.52844)
5881,7734,12517515,2025-10-06,Uniper UK,EMERGE (East Midlands Energy Re-Generation),EfW Incineration,,,49.90,,Yes,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Ratcliffe Power Station, Ratcliffe-on-Soar, Nottingham, ",Nottinghamshire,East Midlands,England,NG11 0EE,450445,330468,Rushcliffe,ES/4154,,,,,,2020-07-16,,,,,,,,,,,2024-07-23,,,,,52.86933,-1.25205,POINT (-1.25205 52.86933)
6095,8057,12523682,2025-08-04,Muirden Energy,Meall Buidhe Wind Farm,Wind Onshore,,,40.00,,,,,,,,8,150.00,,Appeal Granted,Awaiting Construction,,,"Land 4420M NW Of, Croick Estate, Ardgay, Highlands",Highland,Scotland,Scotland,IV24 3BW,245556,895446,Highland,20/02659/FUL,22/00046/REFSU,,,,,2020-08-21,,,2022-10-20,,,,,,,,2026-06-14,,,,,57.92154,-4.60915,POINT (-4.60915 57.92154)
6139,8136,12584429,2025-12-05,Aura Power,Kemble Wick,Solar Photovoltaics,,,49.90,,No,AR5,,,49.00,,,,Ground,Under Construction,Under Construction,,,"Kemble Wick, Cirencester,",Gloucestershire,South West,England,GL7 6EH,397998,195730,Cotswold,PL/2021/06919,,,,,,2021-07-27,,,,,,,,,,,2027-03-25,2025-01-02,,,197800.00,51.66035,-2.03034,POINT (-2.03034 51.66035)
6247,8305,12432154,2025-10-06,Infinergy Limited,Lochluichart Wind Farm Extension 2 ,Wind Onshore,,,24.00,,No,,,,,,5,149.90,,Planning Permission Granted,Awaiting Construction,,6377,SW Of Aultguish Inn Garve,Highland,Scotland,Scotland,IV23 2PQ,235136,870439,Highland,21/02985/FUL,,,,,,2021-06-22,,,,,,,,,,,2026-01-30,,,,,57.69346,-4.76759,POINT (-4.76759 57.69346)
6248,8308,12547221,2025-11-09,EDF Energy Renewables,Bloy’s Grove Solar Farm,Solar Photovoltaics,,,49.90,,No,,,,,,,,Ground,Planning Permission Granted,Awaiting Construction,,,"Kiln Lane, Swainsthorpe, Norwich",Norfolk,Eastern,England,NR14 8PY,621595,299905,South Norfolk,2021/2495,,,,,,2021-11-09,,,,,,,2022-04-08,,,,,,,,796000.00,52.55185,1.26714,POINT (1.26714 52.55185)
6253,8344,12615151,2025-11-06,Woolffords Wind Energy Limited,Woolfords Farm - Onshore Wind Turbines,Wind Onshore,,,19.80,,No,,,,,,3,180.00,,Planning Permission Granted,Awaiting Construction,,,"940M NW/O  Woolfords Farm, C203 From Woolfords To A70 At Carnwath Woolfords West Calder",Lothian,Scotland,Scotland,EH55 8LH,299380,657570,South Lanarkshire,P/22/0031,,,,,,2022-01-17,,,,,,,,,,,2030-05-30,,,,,55.8009,-3.60669,POINT (-3.60669 55.8009)
6254,8347,12547536,2025-10-03,Harmony Energy,Windmill Farm  Solar Farm ,Solar Photovoltaics,,8348,30.40,,No,,,,,,,,Ground,Appeal Granted,Awaiting Construction,,,Great Sike Road,North Yorkshire,Yorkshire and Humber,England,YO17 6SB,478730,474826,North Yorkshire,23/00046/MFULE, 23/00046/MFULE ,,,,,2023-01-25,,,2024-05-01,,,,,,,,2028-02-26,,,,528600.00,54.16321,-0.79571,POINT (-0.79571 54.16321)
6255,8348,12547536,2025-10-03,Harmony Energy,Windmill Farm Solar Farm ,Battery,Co-located with RE,8347,12.63,,No,,,,,,,,,Appeal Granted,Awaiting Construction,,,Great Sike Road,North Yorkshire,Yorkshire and Humber,England,YO17 6SB,478730,474826,North Yorkshire,23/00046/MFULE, 23/00046/MFULE ,,,,,2023-01-25,,,2024-04-30,,,,,,,,,,,,,54.16321,-0.79571,POINT (-0.79571 54.16321)
6324,8468,12551332,2025-08-07,Energiekontor UK Limited / Uniper,Garbet Windfarm - Wind Farm & Storage facility,Wind Onshore,,8469,46.20,,No,AR5,,,46.20,,8,200.00,,Under Construction,Under Construction,,7869,SE/O Dufftown Keith Grampian,Grampian,Scotland,Scotland,AB55,332299,840059,Moray,21/00020/EIA,,,,,,2021-01-11,,,2021-12-01,,,,,,,,2027-09-26,2025-01-03,,,,57.44577,-3.12963,POINT (-3.12963 57.44577)
6325,8469,12551332,2025-08-07,Energiekontor UK Limited,Garbet Windfarm - Wind Farm & Storage facility,Battery,Co-located with RE,8468,3.00,,No,,,,,,,,,Under Construction,Under Construction,,7870,Garbet Windfarm Site 5.5km SE/O Dufftown Keith Grampian,Grampian,Scotland,Scotland,AB55,332299,840059,Moray,21/00020/EIA,,,,,,2021-01-11,,,2021-12-01,,,,,,,,2027-09-26,2025-01-03,,,,57.44577,-3.12963,POINT (-3.12963 57.44577)
